"","KSDistance","sSigmaMean","sIntSEMod","sSigmaSD","scn"
"38321",0.3303,0.08696,5,0.03,"High"
"39121",0.229,0.08696,7,0.03,"High"
"39921",0.3043,0.08696,9,0.03,"High"
"40721",0.9005,0.017392,1,0.05,"High"
"41521",0.4949,0.017392,3,0.05,"High"
"42321",0.3135,0.017392,5,0.05,"High"
"43121",0.243,0.017392,7,0.05,"High"
"43921",0.7343,0.017392,9,0.05,"High"
"44721",0.209,0.034784,1,0.05,"High"
"45521",0.0924,0.034784,3,0.05,"High"
"46321",0.6648,0.034784,5,0.05,"High"
"47121",0.8658,0.034784,7,0.05,"High"
"47921",0.1018,0.034784,9,0.05,"High"
"48721",0.8081,0.052176,1,0.05,"High"
"49521",0.5429,0.052176,3,0.05,"High"
"50321",0.9788,0.052176,5,0.05,"High"
"51121",0.1084,0.052176,7,0.05,"High"
"51921",0.2079,0.052176,9,0.05,"High"
"52721",0.9138,0.069568,1,0.05,"High"
"53521",0.2026,0.069568,3,0.05,"High"
"54321",0.8239,0.069568,5,0.05,"High"
"55121",0.3691,0.069568,7,0.05,"High"
"55921",0.8805,0.069568,9,0.05,"High"
"56721",0.466,0.08696,1,0.05,"High"
"57521",0.2059,0.08696,3,0.05,"High"
"58321",0.8884,0.08696,5,0.05,"High"
"59121",0.3978,0.08696,7,0.05,"High"
"59921",0.7489,0.08696,9,0.05,"High"
"60721",0.4482,0.017392,1,0.07,"High"
"61521",0.9074,0.017392,3,0.07,"High"
"62321",0.5131,0.017392,5,0.07,"High"
"63121",0.3066,0.017392,7,0.07,"High"
"63921",0.2035,0.017392,9,0.07,"High"
"64721",0.2942,0.034784,1,0.07,"High"
"65521",0.5928,0.034784,3,0.07,"High"
"66321",0.148,0.034784,5,0.07,"High"
"67121",0.2521,0.034784,7,0.07,"High"
"67921",0.9696,0.034784,9,0.07,"High"
"68721",0.2929,0.052176,1,0.07,"High"
"69521",0.1749,0.052176,3,0.07,"High"
"70321",0.1023,0.052176,5,0.07,"High"
"71121",0.3692,0.052176,7,0.07,"High"
"71921",0.4373,0.052176,9,0.07,"High"
"72721",0.4714,0.069568,1,0.07,"High"
